k,m,u_mass,c_v,c_uci,c_npmi,alpha,eta
5,10,-3.082130977399611,0.4462283624890998,0.09384365972714322,0.029216156543242066,1,0.001
5,20,-3.4034129575758385,0.39463672404357625,0.09356784277109606,0.022057342978886,1,0.001
5,30,-3.5470652356561496,0.35313649276195996,-0.009251481031935493,0.008984041527640567,1,0.001
5,10,-3.1052862015762246,0.4421996491641137,0.0875368197705806,0.028316996089572145,1,0.01
5,20,-3.40505046707234,0.39463672404357614,0.09356784277109606,0.022057342978886,1,0.01
5,30,-3.562189642778165,0.35562841907143017,-0.0038902949552187733,0.009834910680637386,1,0.01
5,10,-2.986701183588329,0.4571080491155941,0.05295997953608904,0.03009154561749434,1,0.1
5,20,-3.4822106865848332,0.3923573736824097,0.06138203217377898,0.020982878274660305,1,0.1
5,30,-3.7323816497701783,0.3477911605739415,-0.13958034136700354,0.004611333186507012,1,0.1
5,10,-3.4021680680275894,0.43276109466810214,-0.012184124214876755,0.028972356928192767,1,0.5
5,20,-3.848306397825167,0.374174143750445,-0.22094726106783696,0.01168764395435206,1,0.5
5,30,-4.1085306581784735,0.3330427870971838,-0.4238359680195864,-0.004392407405393919,1,0.5
5,10,-4.247114604655652,0.4192514909859292,-0.8926866744953085,-0.0007895008665502245,1,1.0
5,20,-4.454430927761444,0.3739200670792432,-0.7221237436972466,-0.005726498665694904,1,1.0
5,30,-5.119298432099858,0.3536311759484604,-1.2174023452340168,-0.030664807131600753,1,1.0
5,10,-2.80008140900224,0.349960791059602,-0.053762705696649524,-0.001694591580138521,10,0.001
5,20,-3.1408143667388813,0.31324584829701874,-0.04368722817762055,0.0003528929962738141,10,0.001
5,30,-3.323847355808927,0.299794765633965,-0.056569679672121495,-0.00227664716332887,10,0.001
5,10,-2.80008140900224,0.349960791059602,-0.053762705696649524,-0.001694591580138521,10,0.01
5,20,-3.145950434974608,0.31589138159738184,-0.039919982907709706,0.0009293946525920398,10,0.01
5,30,-3.324024571047859,0.2997947656339651,-0.056569679672121495,-0.00227664716332887,10,0.01
5,10,-2.895642406138435,0.3672948642157413,-0.04999619659859934,0.0002136118673706767,10,0.1
5,20,-3.1092221430709097,0.3131704337178059,-0.039493803351478556,0.0011900464550577254,10,0.1
5,30,-3.365335657482505,0.3106617762807665,-0.04391119019632573,-0.00019682037034577895,10,0.1
5,10,-2.733609543567812,0.34859886253227,-0.061664730731271225,-0.0027587155782578783,10,0.5
5,20,-3.094841626627492,0.3071276635908409,-0.043966875184450215,0.0005242605228487432,10,0.5
5,30,-3.3333560003416642,0.30288127988750757,-0.04944427490607067,-0.0013547665248370565,10,0.5
5,10,-2.746612585581251,0.34859886253227,-0.061664730731271225,-0.0027587155782578796,10,1.0
5,20,-3.1200692687115534,0.30955707748167216,-0.047638074043264325,0.00018538514542324147,10,1.0
5,30,-3.301044088883149,0.30195860611460645,-0.04726745458998166,-0.001073226778844323,10,1.0
5,10,-2.537358598916105,0.21867326976574897,-0.19021469629830384,-0.029086729132604728,50,0.001
5,20,-2.8113090947294523,0.2105572717447879,-0.1467704342826085,-0.020114377623483032,50,0.001
5,30,-3.06779158134071,0.21475215766833236,-0.14884047389771174,-0.018153230595316584,50,0.001
5,10,-2.537358598916105,0.21867326976574897,-0.19021469629830384,-0.029086729132604728,50,0.01
5,20,-2.8113090947294523,0.2105572717447879,-0.1467704342826085,-0.020114377623483032,50,0.01
5,30,-3.06779158134071,0.21475215766833236,-0.14884047389771174,-0.018153230595316584,50,0.01
5,10,-2.537358598916105,0.21867326976574897,-0.19021469629830384,-0.029086729132604728,50,0.1
5,20,-2.8110368865382185,0.2105572717447879,-0.1467704342826085,-0.020114377623483032,50,0.1
5,30,-3.0673263861458224,0.21475215766833236,-0.14884047389771174,-0.018153230595316584,50,0.1
5,10,-2.537358598916105,0.21867326976574897,-0.19021469629830384,-0.029086729132604728,50,0.5
