Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15
internet,number,send,online,thank,internet,service,pay,mbps,internet,internet,nyo,use,day,fiber
connection,text,reply,good,win,day,customer,bill,speed,please,connection,net,try,ticket,cable
day,message,already,service,love,connection,get,service,plan,connection,area,internet,number,call,dennis
please,sim,message,really,ticket,lose,day,month,upgrade,work,los,naman,sim,still,philippine
service,spam,please,company,amp,pay,call,internet,get,fix,red,lng,load,technician,network
thank,link,check,business,happy,work,time,day,pay,need,since,day,data,internet,company
send,registration,thank,help,much,time,issue,since,slow,thank,city,service,help,since,amp
pay,register,concern,like,watch,week,talk,due,fiber,since,blink,pay,call,number,home
fix,block,response,customer,fan,fix,fix,connection,service,check,light,wla,get,update,team
work,receive,ask,digital,manila,net,even,payment,month,pls,outage,mag,prepay,week,anthony
time,name,time,people,game,service,know,still,new,day,please,ung,account,say,telco
since,report,detail,need,get,every,really,request,free,help,san,mother,phone,issue,city
still,scam,account,home,wish,really,internet,time,year,asap,issue,yung,work,repair,year
reply,get,number,especially,event,back,give,last,internet,send,lose,yan,gcash,follow,lead
check,know,get,amp,day,always,bad,date,ping,still,hello,nag,wifi,wait,broadband
net,website,answer,make,hope,month,work,account,like,home,net,bill,need,request,one
already,card,respond,filipino,bright,last,pay,already,high,already,update,wifi,home,time,first
get,like,one,right,make,signal,agent,week,customer,issue,manila,kmi,mobile,connection,tower
need,scammer,still,philippine,concert,slow,answer,charge,download,hello,brgy,nman,also,line,area
week,use,dm,child,meet,wifi,say,call,offer,los,modem,nmin,postpaid,hour,smart
call,gcash,call,also,give,well,one,fix,fast,area,cavite,work,signal,visit,ayala
issue,data,need,know,bring,hour,take,even,connection,class,signal,signal,one,already,solution
customer,faq,email,new,star,night,need,disconnect,really,online,night,week,new,team,visayas
update,page,via,support,today,like,like,get,data,yesterday,problem,lose,even,one,fast
really,also,even,pandemic,come,good,good,line,use,service,morning,reply,register,tech,mindanao
month,call,issue,work,new,data,people,cut,upload,restore,still,bat,card,fix,expand
area,time,receive,look,really,without,support,yet,time,today,last,call,still,service,reach
ticket,smart,help,big,time,home,tell,plan,charge,kindly,work,nyu,thank,report,business
bill,make,since,country,good,problem,problem,please,test,red,check,hr,globeone,come,billion
lose,something,ticket,year,know,almost,keep,update,contract,morning,laguna,tangina,say,need,woman
